iter	Passed	Remaining
669	8741	252195
670	8755	252211
671	8768	252190
672	8790	252443
673	8803	252425
674	8815	252388
675	8828	252366
676	8841	252353
677	8854	252332
678	8867	252321
679	8880	252298
680	8892	252275
681	8905	252254
682	8918	252232
683	8931	252216
684	8944	252203
685	8957	252189
686	8969	252158
687	8982	252139
688	8995	252120
689	9008	252096
690	9021	252082
691	9034	252072
692	9047	252051
693	9060	252040
694	9073	252023
695	9085	252005
696	9098	251973
697	9110	251946
698	9124	251944
699	9139	251977
700	9153	252007
701	9167	252002
702	9180	251989
703	9192	251961
704	9205	251941
705	9218	251923
706	9230	251890
707	9243	251869
708	9256	251848
709	9268	251826
710	9281	251814
711	9294	251794
712	9307	251770
713	9320	251755
714	9333	251731
715	9345	251714
716	9358	251690
717	9371	251675
718	9384	251658
719	9397	251633
720	9410	251616
721	9423	251605
722	9435	251583
723	9448	251558
724	9461	251539
725	9474	251519
726	9486	251496
727	9499	251478
728	9512	251465
729	9525	251451
730	9538	251429
731	9551	251424
732	9564	251415
733	9578	251403
734	9590	251383
735	9603	251362
736	9616	251342
737	9629	251326
738	9642	251306
739	9655	251291
740	9667	251271
741	9680	251248
742	9692	251221
743	9707	251248
744	9720	251233
745	9733	251215
746	9745	251189
747	9758	251175
748	9771	251153
749	9784	251137
750	9797	251119
751	9810	251098
752	9823	251082
753	9836	251070
754	9848	251049
755	9861	251027
756	9874	251004
757	9886	250974
758	9899	250960
759	9912	250952
760	9926	250953
761	9939	250938
762	9952	250915
763	9964	250896
764	9977	250867
765	9990	250850
766	10002	250830
767	10016	250823
768	10029	250804
769	10041	250776
770	10054	250750
771	10066	250723
772	10079	250701
773	10091	250666
774	10103	250637
775	10116	250608
776	10128	250577
777	10140	250543
778	10152	250509
779	10165	250480
780	10178	250464
781	10191	250452
782	10204	250454
783	10217	250422
784	10229	250396
785	10242	250371
786	10254	250344
787	10268	250353
788	10282	250353
789	10294	250319
790	10306	250290
791	10319	250273
792	10331	250245
793	10344	250215
794	10356	250176
795	10368	250146
796	10381	250126
797	10394	250108
798	10406	250078
799	10418	250047
800	10430	250017
801	10443	249986
802	10456	249974
803	10468	249945
804	10481	249917
805	10493	249891
806	10506	249869
807	10517	249828
808	10529	249790
809	10541	249754
810	10553	249716
811	10566	249682
812	10578	249645
813	10590	249611
814	10602	249572
815	10613	249532
816	10626	249511
817	10638	249474
818	10650	249444
819	10662	249401
820	10674	249365
821	10689	249385
822	10701	249370
823	10714	249354
824	10727	249339
825	10741	249336
826	10753	249301
827	10765	249272
828	10777	249245
829	10790	249219
830	10802	249180
831	10814	249143
832	10826	249110
833	10838	249079
834	10850	249043
835	10862	249015
836	10875	248985
837	10887	248967
838	10902	248999
839	10915	248981
840	10931	249025
841	10944	249026
842	10959	249046
843	10972	249044
844	10984	249014
845	10997	248997
846	11010	248971
847	11023	248955
848	11036	248946
849	11049	248941
850	11062	248916
851	11074	248888
852	11086	248857
853	11100	248853
854	11112	248830
855	11126	248844
856	11139	248814
857	11151	248784
858	11164	248775
859	11176	248744
860	11189	248726
861	11202	248712
862	11214	248689
863	11227	248663
864	11240	248663
865	11254	248655
866	11268	248671
867	11282	248672
868	11295	248670
869	11308	248651
870	11321	248635
871	11336	248677
872	11349	248665
873	11363	248665
874	11375	248640
875	11388	248627
876	11401	248603
877	11414	248599
878	11427	248591
879	11440	248577
880	11453	248554
881	11466	248543
882	11479	248532
883	11492	248516
884	11505	248507
885	11518	248485
886	11531	248476
887	11545	248495
888	11559	248488
889	11571	248463
890	11585	248465
891	11598	248466
892	11612	248460
893	11625	248447
894	11638	248440
895	11651	248420
896	11664	248408
897	11677	248391
898	11689	248366
899	11702	248345
900	11714	248317
901	11726	248291
902	11739	248269
903	11767	248571
904	11780	248565
905	11800	248692
906	11814	248696
907	11829	248730
908	11845	248781
909	11858	248763
910	11871	248745
911	11889	248848
912	11904	248863
913	11925	249033
914	11937	249000
915	11976	249528
916	11990	249524
917	12005	249551
918	12025	249673
919	12038	249659
920	12055	249739
921	12088	250126
922	12101	250110
923	12117	250172
924	12133	250219
925	12146	250206
926	12159	250178
927	12172	250158
928	12185	250156
929	12198	250144
930	12222	250351
931	12235	250334
932	12248	250316
933	12261	250292
934	12276	250330
935	12292	250358
